"","genes","cluster"
"lpl2_b_DN125_c0_g1_i1","lpl2_b_DN125_c0_g1_i1",1
"lpl2_c_DN1_c0_g1_i14","lpl2_c_DN1_c0_g1_i14",1
"lpl2_c_DN26_c0_g1_i21","lpl2_c_DN26_c0_g1_i21",1
"lpl2_c_DN11_c0_g1_i28","lpl2_c_DN11_c0_g1_i28",1
"lpl2_c_DN11_c0_g1_i39","lpl2_c_DN11_c0_g1_i39",1
"lpl2_c_DN23_c0_g1_i12","lpl2_c_DN23_c0_g1_i12",1
"lpl2_c_DN95_c0_g1_i3","lpl2_c_DN95_c0_g1_i3",1
"lpl2_c_DN0_c0_g1_i61","lpl2_c_DN0_c0_g1_i61",1
"lpl2_c_DN43_c0_g1_i5","lpl2_c_DN43_c0_g1_i5",1
"lpl2_c_DN2817_c0_g1_i2","lpl2_c_DN2817_c0_g1_i2",1
"lpl2_c_DN1087_c0_g1_i1","lpl2_c_DN1087_c0_g1_i1",1
"lpl2_c_DN1895_c0_g2_i2","lpl2_c_DN1895_c0_g2_i2",2
"lpl2_c_DN109_c0_g1_i33","lpl2_c_DN109_c0_g1_i33",1
"lpl2_c_DN22778_c0_g1_i2","lpl2_c_DN22778_c0_g1_i2",1
"lpl2_c_DN2273_c0_g1_i1","lpl2_c_DN2273_c0_g1_i1",1
"lpl2_c_DN3436_c0_g1_i1","lpl2_c_DN3436_c0_g1_i1",1
"lpl6_a_DN5_c0_g2_i2","lpl6_a_DN5_c0_g2_i2",1
"lpl6_a_DN5_c0_g2_i3","lpl6_a_DN5_c0_g2_i3",1
"lpl6_a_DN8_c0_g1_i36","lpl6_a_DN8_c0_g1_i36",1
"lpl6_a_DN8_c0_g1_i6","lpl6_a_DN8_c0_g1_i6",1
"lpl6_a_DN52_c1_g4_i1","lpl6_a_DN52_c1_g4_i1",1
"lpl6_a_DN1_c0_g1_i37","lpl6_a_DN1_c0_g1_i37",1
"lpl6_a_DN1_c0_g1_i41","lpl6_a_DN1_c0_g1_i41",1
"lpl6_a_DN1_c0_g1_i56","lpl6_a_DN1_c0_g1_i56",1
"lpl6_a_DN44_c0_g1_i12","lpl6_a_DN44_c0_g1_i12",1
"lpl6_a_DN41_c0_g1_i1","lpl6_a_DN41_c0_g1_i1",1
"lpl6_a_DN28_c0_g1_i19","lpl6_a_DN28_c0_g1_i19",1
"lpl6_a_DN69_c1_g1_i5","lpl6_a_DN69_c1_g1_i5",2
"lpl6_a_DN12906_c1_g1_i1","lpl6_a_DN12906_c1_g1_i1",1
"lpl6_a_DN282_c0_g1_i3","lpl6_a_DN282_c0_g1_i3",1
"lpl6_a_DN8741_c0_g1_i2","lpl6_a_DN8741_c0_g1_i2",1
"lpl6_a_DN10974_c0_g1_i1","lpl6_a_DN10974_c0_g1_i1",1
"lpl6_a_DN5342_c0_g1_i1","lpl6_a_DN5342_c0_g1_i1",1
"lpl6_a_DN563_c0_g1_i12","lpl6_a_DN563_c0_g1_i12",1
"lpl6_a_DN722_c0_g2_i1","lpl6_a_DN722_c0_g2_i1",3
"lpl6_a_DN6535_c0_g1_i1","lpl6_a_DN6535_c0_g1_i1",1
"lpl6_a_DN100_c0_g1_i4","lpl6_a_DN100_c0_g1_i4",1
"lpl6_a_DN149_c0_g1_i9","lpl6_a_DN149_c0_g1_i9",1
"lpl6_a_DN109_c1_g1_i20","lpl6_a_DN109_c1_g1_i20",1
"lpl6_a_DN109_c1_g1_i7","lpl6_a_DN109_c1_g1_i7",1
